"","Classical","Mesenchymal","Neural","Proneural"
"ACTR1A",-0.63805,-0.31115,-0.07253,0.5893
"PELI1",-0.7975,-0.4277,0.01863135,0.9359
"FBXO21",0.132115,-0.57695,-0.2944,0.7604
"PAFAH1B3",0.5747,-1.23,0.24425,0.9606
"FAM110B",0.016191,-0.56775,-0.3778,1.18
"LRP6",0.22505,-0.68085,-0.5388,1.145
"TMCC1",0.25695,-0.36415,-0.52955,0.9542
"MMP16",0.33155,-0.7672,-0.50605,1.176
"LPHN3",-0.063025,-1.164,-0.76855,1.532
"ZNF286A",0.0109295,-0.41615,-0.47185,1.137
"ZEB2",-0.62415,-0.19845,-0.32975,1.033
"TTC3",0.07638,-0.55935,-0.76415,1.222
"SCN3A",-0.74895,-1.5805,0.089995,2.152
"MLLT11",-0.79875,-0.7636,0.143905,1.715
"GSTA4",-0.34515,-1.2055,0.51415,1.006
"CRMP1",-0.3188,-1.441,-0.15287,1.605
"CHD7",0.11595,-1.1695,-1.1155,2.032
"SOX4",0.041395,-1.5075,-1.407,2.289
"SOX11",0.115665,-1.675,-0.8571,1.745
"DCX",-2.501,-3.2625,-0.31785,4.173
"FGF9",-0.84315,-0.77485,0.31505,1.389
"ERBB3",-1.346,-0.91015,0.44335,3.215
"DNM3",-1.301,-0.9641,0.041415,2.148
"GPR17",-0.4923,-0.97595,0.5703,4.986
"CLASP2",-0.4164,-1.182,0.58415,1.24
"HDAC2",-0.38645,-0.3969,-0.48815,1.396
"CDC7",-0.093465,-0.94785,-0.20415,1.487
"HMGB3",0.129495,-0.66255,-0.41775,1.098
"HN1",-0.2939,-0.4347,-0.304,1.607
"ZNF184",0.17445,-0.6878,-0.2297,0.8843
"CASK",0.47935,-0.9355,-0.77975,1.209
"ZNF711",0.054785,-1.3975,-0.4423,1.228
"CBX1",-0.10835,-0.47255,-0.33385,0.777
"MATR3",-0.01816655,-0.5788,0.08642,0.5231
"NRXN1",-0.1826,-1.4815,0.80605,0.9416
"NCALD",0.19935,-1.7045,0.7737,0.7159
"SCG3",0.5948,-2.4745,0.8078,0.7626
"C1orf61",0.17905,-2.348,0.95425,0.3235
"GPM6A",0.015275,-1.6815,0.5778,0.4073
"RUFY3",0.14595,-1.0055,-0.30185,0.7443
"NCAM1",-0.0009725,-1.1145,-0.29245,0.9559
"SRGAP3",0.49285,-0.88655,-0.06686,0.4662
"FXYD6",0.139905,-1.688,-0.00791,0.762
"ABAT",0.2082,-1.3865,0.124765,0.7955
"MAP2",0.093785,-1.7885,-0.2249,1.277
"BCAN",0.3126,-3.5915,-0.6508,0.8748
"NLGN3",0.89895,-1.6395,-0.23255,0.5784
"DPP6",0.535,-1.0605,0.04411,0.07008
"MYO10",0.64135,-0.8746,-0.12645,0.2334
"BAI3",0.5599,-1.6455,0.52705,0.5331
"SEZ6L",0.737,-1.919,-0.008375,1.101
"CKB",1.2785,-2.2385,0.5995,0.2549
"CRB1",-0.04855,-1.765,0.3272,1.621
"GRIA2",0.209,-2.8985,-0.18375,1.544
"ARHGEF9",-0.29275,-0.7075,-0.26105,0.806
"VEZF1",0.18585,-0.8034,-0.19875,0.6952
"MARCKS",-0.21,-0.51535,-0.015045,0.7186
"BEX1",-0.38265,-2.412,0.7576,0.96
"RBPJ",-0.3603,-0.16875,-0.8132,1.035
