"","Classical.cor","Classical.p_value","Mesenchymal.cor","Mesenchymal.p_value","Neural.cor","Neural.p_value","Proneural.cor","Proneural.p_value","Calls"
"MGH264_A01","-0.0410127500584329","0.81","-0.293902759553404","1","2.75925157415807e-05","0.49","0.273569348055257","0","Proneural"
"MGH264_A02","0.0417521086371726","0.29","-0.224993580209119","1","0.0369485940354449","0.21","0.122584697954571","0","Proneural"
"MGH264_A03","-0.0222621250728459","0.6","-0.0735541875666525","0.89","0.169466988122833","0","0.00496806317035228","0.52","Neural"
"MGH264_A04","0.0431897391288763","0.27","-0.231793825520658","1","0.0620521440140004","0.09","0.180452251448812","0","Proneural"
"MGH264_A05","0.0714507188102111","0.11","-0.134655692768445","0.98","-0.126053890600107","1","0.161201938162954","0","Proneural"
"MGH264_A06","-0.0239017650046138","0.74","-0.278351055312918","1","-0.0675527220973457","0.93","0.351672489292297","0","Proneural"
"MGH264_A07","0.0868177360260276","0.07","-0.272379793821493","1","-0.054887153156287","0.88","0.267356801878069","0","Proneural"
"MGH264_A08","0.0728581385182561","0.12","-0.1814086884191","1","-0.0626182940997638","0.86","0.169939904703098","0","Proneural"
"MGH264_A10","-0.00450422643828256","0.57","-0.295234853573381","1","0.117544519869583","0.04","0.23273967123414","0","Neural Proneural"
"MGH264_A11","-0.000203016466186229","0.48","-0.445288981221986","1","0.0630823317367609","0.08","0.398539691132981","0","Proneural"
"MGH264_B01","0.0776846133155644","0.08","-0.140394532654329","1","-0.0669092324054162","0.91","0.140182279802642","0.01","Proneural"
"MGH264_B02","0.183628393665444","0.01","-0.252552659908179","1","0.0445407653740918","0.24","0.124321818189877","0","Classical Proneural"
"MGH264_B03","0.0412751810658145","0.3","-0.218504707343133","1","0.0488891041686957","0.15","0.14981730530256","0.01","Proneural"
"MGH264_B04","0.0900748613148805","0.05","-0.0907122997151123","0.98","0.00266056301420643","0.42","0.0314562767340293","0.25","Classical"
"MGH264_B05","0.0991467568371288","0.05","-0.113509757578626","0.99","0.0625850622377392","0.1","-0.00306156112427636","0.49","Classical"
"MGH264_B06","0.0310222453077368","0.33","-0.140699862943759","0.99","-0.016206675596303","0.59","0.11030199910818","0.03","Proneural"
"MGH264_B10","-0.0375642898064085","0.77","-0.243514802778989","1","0.220700650508665","0","0.166460629101369","0","Neural Proneural"
"MGH264_B11","-0.0356406685082491","0.64","-0.37928487054177","1","0.146109822844972","0.01","0.329056694367951","0","Neural Proneural"
"MGH264_C01","0.0103232261813902","0.44","-0.134781369615809","1","0.177730040263926","0","-0.00558335619282872","0.53","Neural"
"MGH264_C03","0.0273621081648773","0.28","-0.209920414733596","1","0.0383423181882313","0.28","0.17348141452543","0.01","Proneural"
"MGH264_C04","0.0423659917611167","0.15","-0.31856482679656","1","0.0124623510696481","0.52","0.286209742616187","0","Proneural"
"MGH264_C05","0.1102204188846","0.03","-0.210475084665713","1","-0.125190869213591","1","0.212266022492136","0","Classical Proneural"
"MGH264_C08","0.0647330489558703","0.16","-0.191008063257347","1","-0.125874841355623","0.99","0.233988383751113","0","Proneural"
"MGH264_C12","-0.0703909245194651","0.87","-0.182732726230913","1","0.02496478177895","0.35","0.25141597957268","0","Proneural"
"MGH264_D01","0.103671526608299","0.03","-0.272878473106867","1","0.0911527820758217","0.04","0.168045688376947","0","Classical Neural Proneural"
"MGH264_D02","0.0488661439731151","0.2","-0.264694976853507","1","0.0899062851420652","0.05","0.201700706167073","0","Neural Proneural"
"MGH264_D03","0.204212209003439","0","-0.258213757385277","1","-0.07985757428152","0.95","0.151950589654138","0","Classical Proneural"
"MGH264_D04","0.0450865735321917","0.25","-0.342462359884917","1","-0.0315704703285293","0.58","0.343082958417477","0","Proneural"
"MGH264_D05","0.126935038456818","0","-0.335575510335612","1","0.0813876497712192","0.13","0.22733214181991","0","Classical Proneural"
"MGH264_D08","0.0980148594760509","0.06","-0.285291478646517","1","-0.110136835716478","0.97","0.289652362463385","0","Proneural"
"MGH264_D09","0.031198474879079","0.27","-0.115164099925178","0.95","-0.130429821910452","1","0.111854632139365","0.05","Proneural"
"MGH264_D10","-0.0150423519940981","0.65","-0.428227543571498","1","0.0336666959039919","0.28","0.442385814303568","0","Proneural"
"MGH264_D12","0.0658897191595484","0.1","-0.321649548902694","1","0.0251611518727314","0.37","0.275176763312993","0","Proneural"
"MGH264_E01","0.0354841766488972","0.2","-0.269271305901273","1","-0.0822847086406572","0.97","0.289273519198155","0","Proneural"
"MGH264_E03","0.10847886790929","0.03","-0.239722342785615","1","-0.0333976185242054","0.63","0.206111481025415","0","Classical Proneural"
"MGH264_E05","-0.0706779269642224","0.89","-0.322311366403396","1","0.0121556109129005","0.56","0.406379390281883","0","Proneural"
"MGH264_E06","0.176104095887417","0","-0.158003389649585","1","-0.0637147441413489","0.84","0.115761893886024","0.05","Classical Proneural"
"MGH264_E08","0.0320459880633167","0.26","-0.391378044617295","1","0.0131078548138216","0.47","0.387894215520538","0","Proneural"
"MGH264_E10","-0.189542456674464","1","-0.23815460467683","1","0.0107024722189187","0.39","0.394264864814794","0","Proneural"
"MGH264_E12","0.146538815972925","0","-0.227811239014605","1","-0.0917437050041852","0.94","0.209981684207054","0","Classical Proneural"
"MGH264_F01","0.0520489507341676","0.18","0.0147833433868098","0.36","-0.0503374091372921","0.8","0.0290952030507261","0.3","NA"
"MGH264_F02","0.0929789232453758","0.05","-0.210840030895558","1","0.0546309657108615","0.13","0.100877442088945","0.04","Classical Proneural"
"MGH264_F03","0.0960253786695156","0.03","-0.2737525716927","1","0.0427202635508206","0.25","0.147670728204834","0","Classical Proneural"
"MGH264_F04","0.161728193780829","0","-0.191112793963483","1","0.078427999998792","0.16","0.0235148679365675","0.27","Classical"
"MGH264_F07","0.0877941485538757","0.06","-0.364321269497283","1","0.0349921436857097","0.37","0.292234377700095","0","Proneural"
"MGH264_F09","0.00433987977517943","0.45","-0.418230594860341","1","0.104881166385992","0.04","0.396489184336964","0","Neural Proneural"
