cell.instance,tumor.label
Cy81_FNA_CD45_B01_S301_comb,Mel81
Cy80_II_CD45_B07_S883_comb,Mel80
Cy81_Bulk_CD45_B10_S118_comb,Mel81
Cy80_II_CD45_C09_S897_comb,Mel80
Cy81_FNA_CD45_E05_S341_comb,Mel81
Cy81_Bulk_CD45_E10_S154_comb,Mel81
Cy80_II_CD45_H07_S955_comb,Mel80
Cy81_FNA_CD45_D09_S333_comb,Mel81
Cy80_II_CD45_H09_S957_comb,Mel80
Cy80_II_CD45_B11_S887_comb,Mel80
Cy81_Bulk_CD45_E04_S148_comb,Mel81
Cy80_II_CD45_D11_S911_comb,Mel80
Cy81_FNA_CD45_G10_S370_comb,Mel81
Cy81_FNA_CD45_C09_S321_comb,Mel81
Cy80_II_CD45_G07_S943_comb,Mel80
Cy81_Bulk_CD45_D01_S133_comb,Mel81
Cy81_Bulk_CD45_D10_S142_comb,Mel81
Cy81_FNA_CD45_C05_S317_comb,Mel81
Cy80_II_CD45_B01_S877_comb,Mel80
Cy81_Bulk_CD45_G12_S180_comb,Mel81
Cy81_FNA_CD45_F02_S350_comb,Mel81
Cy80_II_CD45_B09_S885_comb,Mel80
Cy81_FNA_CD45_H12_S384_comb,Mel81
Cy81_Bulk_CD45_E08_S152_comb,Mel81
Cy80_II_CD45_G09_S945_comb,Mel80
Cy80_II_CD45_D09_S909_comb,Mel80
Cy81_Bulk_CD45_B09_S117_comb,Mel81
Cy81_FNA_CD45_B10_S310_comb,Mel81
Cy81_Bulk_CD45_C06_S126_comb,Mel81
Cy81_FNA_CD45_H10_S382_comb,Mel81
Cy80_II_CD45_B02_S878_comb,Mel80
Cy81_FNA_CD45_B11_S311_comb,Mel81
Cy81_Bulk_CD45_B12_S120_comb,Mel81
Cy80_II_CD45_F12_S936_comb,Mel80
Cy81_Bulk_CD45_B01_S109_comb,Mel81
Cy80_II_CD45_B06_S882_comb,Mel80
Cy80_II_CD45_F07_S931_comb,Mel80
Cy80_II_CD45_B12_S888_comb,Mel80
Cy80_II_CD45_A09_S873_comb,Mel80
Cy80_II_CD45_F11_S935_comb,Mel80
Cy81_Bulk_CD45_E03_S147_comb,Mel81
Cy80_II_CD45_D04_S904_comb,Mel80
Cy81_Bulk_CD45_A11_S107_comb,Mel81
Cy81_FNA_CD45_C08_S320_comb,Mel81
Cy81_Bulk_CD45_C05_S125_comb,Mel81
Cy81_Bulk_CD45_B04_S112_comb,Mel81
Cy81_FNA_CD45_F03_S351_comb,Mel81
Cy81_Bulk_CD45_B05_S113_comb,Mel81
Cy80_II_CD45_C02_S890_comb,Mel80
Cy80_II_CD45_F01_S925_comb,Mel80
Cy80_II_CD45_E01_S913_comb,Mel80
Cy81_FNA_CD45_B02_S302_comb,Mel81
Cy81_FNA_CD45_F07_S355_comb,Mel81
Cy80_II_CD45_H11_S959_comb,Mel80
Cy81_FNA_CD45_E04_S340_comb,Mel81
Cy81_FNA_CD45_H09_S381_comb,Mel81
Cy80_II_CD45_A01_S865_comb,Mel80
Cy81_Bulk_CD45_F12_S168_comb,Mel81
Cy80_II_CD45_E11_S923_comb,Mel80
Cy81_Bulk_CD45_A08_S104_comb,Mel81
Cy80_II_CD45_E08_S920_comb,Mel80
Cy81_FNA_CD45_H05_S377_comb,Mel81
Cy81_FNA_CD45_D12_S336_comb,Mel81
Cy81_Bulk_CD45_F05_S161_comb,Mel81
Cy81_Bulk_CD45_D08_S140_comb,Mel81
Cy81_FNA_CD45_B04_S304_comb,Mel81
Cy80_II_CD45_H12_S960_comb,Mel80
Cy81_FNA_CD45_H01_S373_comb,Mel81
Cy81_Bulk_CD45_A12_S108_comb,Mel81
Cy80_II_CD45_A06_S870_comb,Mel80
Cy81_Bulk_CD45_E06_S150_comb,Mel81
Cy81_Bulk_CD45_A02_S98_comb,Mel81
Cy81_Bulk_CD45_D06_S138_comb,Mel81
Cy81_FNA_CD45_D11_S335_comb,Mel81
Cy81_FNA_CD45_C10_S322_comb,Mel81
Cy81_Bulk_CD45_G06_S174_comb,Mel81
Cy80_II_CD45_C08_S896_comb,Mel80
Cy81_FNA_CD45_E01_S337_comb,Mel81
Cy81_Bulk_CD45_D12_S144_comb,Mel81
Cy81_Bulk_CD45_G03_S171_comb,Mel81
Cy81_Bulk_CD45_D11_S143_comb,Mel81
Cy80_II_CD45_G03_S939_comb,Mel80
Cy81_FNA_CD45_B12_S312_comb,Mel81
